week,net_pnl,gross_pnl,costs,trading_days,positive
2025-03-24/2025-03-30,-12016.806585187498,-11178.749999999998,838.0565851875,5,False
2025-03-31/2025-04-06,-3295.0745408099997,-2632.5000000000005,662.57454081,4,False
2025-04-07/2025-04-13,12296.7540130275,13181.25,884.4959869725,4,True
2025-04-14/2025-04-20,43701.915220035,44242.5,540.584779965,3,True
2025-04-21/2025-04-27,-10449.433403362498,-9588.749999999998,860.6834033625,5,False
2025-04-28/2025-05-04,-4625.752075679998,-3937.4999999999977,688.25207568,4,False
2025-05-05/2025-05-11,-18991.26209067,-18105.0,886.26209067,5,False
2025-05-12/2025-05-18,53198.61818381248,54198.74999999999,1000.1318161874999,5,True
2025-05-19/2025-05-25,-2370.0984825600017,-1455.0000000000018,915.09848256,5,False
2025-05-26/2025-06-01,-30369.232496917502,-29403.75,965.4824969174999,5,False
2025-06-02/2025-06-08,-1950.9037169325038,-1016.2500000000036,934.6537169325,5,False
2025-06-09/2025-06-15,-9656.98811373,-8797.5,859.48811373,5,False
2025-06-16/2025-06-22,10676.19552858,11550.0,873.80447142,5,True
2025-06-23/2025-06-29,-7336.362475117497,-6491.249999999997,845.1124751175,5,False
2025-06-30/2025-07-06,-9708.4627534425,-8891.25,817.2127534425,5,False
2025-07-07/2025-07-13,-6095.835504757499,-5298.749999999999,797.0855047575,5,False
2025-07-14/2025-07-20,-5856.728733750003,-5070.000000000003,786.72873375,5,False
2025-07-21/2025-07-27,1610.8972129574995,2403.75,792.8527870425,5,True
2025-07-28/2025-08-03,-6512.45478342,-5700.0,812.45478342,5,False
2025-08-04/2025-08-10,-10936.5575551275,-10128.75,807.8075551275,5,False
2025-08-11/2025-08-17,-2421.7338824174994,-1796.2499999999995,625.4838824175,4,False
2025-08-18/2025-08-24,-6817.713206789999,-6029.999999999998,787.71320679,5,False
2025-08-25/2025-08-31,-7603.941297757501,-6993.750000000001,610.1912977575,4,False
2025-09-01/2025-09-07,836.2113384974989,1623.7499999999986,787.5386615025,5,True
2025-09-08/2025-09-14,-5369.071784714998,-4597.499999999998,771.5717847149999,5,False
2025-09-15/2025-09-21,-3346.3675445924982,-2583.749999999998,762.6175445925,5,False
2025-09-22/2025-09-28,-2809.754052945001,-2190.0000000000014,619.754052945,4,False
2025-09-29/2025-10-05,-358.98729283500097,262.4999999999993,621.4872928350001,4,False
2025-10-06/2025-10-12,4246.352764822499,4871.249999999999,624.8972351775001,4,True
2025-10-13/2025-10-19,-3756.6857325000005,-3465.0000000000005,291.6857325,2,False
2025-10-20/2025-10-26,-10949.857955325002,-10432.500000000002,517.357955325,3,False
2025-10-27/2025-11-02,-8820.033744240001,-7995.0,825.03374424,5,False
2025-11-03/2025-11-09,-5620.3292781075,-4991.25,629.0792781074999,4,False
2025-11-10/2025-11-16,-4582.427765190001,-3757.500000000001,824.9277651900001,5,False
2025-11-17/2025-11-23,-1370.1433159350004,-547.5000000000005,822.6433159349999,5,False
2025-11-24/2025-11-30,2269.110114652501,3078.750000000001,809.6398853475,5,True
2025-12-01/2025-12-07,-5128.715110005,-4335.0,793.715110005,5,False
2025-12-08/2025-12-14,-993.0933217049981,-194.99999999999818,798.093321705,5,False
2025-12-15/2025-12-21,-8206.2512799525,-7428.75,777.5012799525,5,False
2025-12-22/2025-12-28,-6509.5879060875,-5913.750000000001,595.8379060875,4,False
2025-12-29/2026-01-04,3636.021581149499,4393.75,757.7284188505,5,True
2026-01-05/2026-01-11,1208.841468373001,1976.000000000001,767.158531627,5,True
2026-01-12/2026-01-18,959.3297913780007,1599.0000000000002,639.670208622,4,True
2026-01-19/2026-01-25,2092.043328978999,2924.999999999999,832.956671021,5,True
2026-01-26/2026-02-01,-4361.231985266498,-3357.2499999999986,1003.9819852665,5,False
2026-02-02/2026-02-08,-26536.3380385615,-25678.25,858.0880385615001,5,False
2026-02-09/2026-02-15,-1624.8698593405002,-828.75,796.1198593404999,5,False
2026-02-16/2026-02-22,23847.451436009,24706.5,859.048563991,5,True
2026-02-23/2026-03-01,-6569.791642167497,-5749.249999999997,820.5416421675,5,False
2026-03-02/2026-03-08,2971.896343272597,3854.4999999999964,882.6036567274,4,True
2026-03-09/2026-03-15,3879.660732262478,4995.250000000013,1115.589267737535,5,True
2026-03-16/2026-03-22,5567.550159628884,6610.500000000004,1042.94984037112,5,True
2026-03-23/2026-03-29,-20235.774849219357,-19386.25,849.524849219355,4,False
2026-03-30/2026-04-05,18248.899023069796,19041.749999999993,792.850976930195,3,True
2026-04-06/2026-04-12,1141.500722802333,2210.0000000000023,1068.49927719767,5,True
2026-04-13/2026-04-19,-751.9000621351806,71.49999999999932,823.40006213518,4,False
2026-04-20/2026-04-26,-10513.722082883149,-9512.749999999996,1000.972082883155,5,False
2026-04-27/2026-05-03,1410.1119666700852,2154.750000000001,744.6380333299151,4,True
2026-05-04/2026-05-10,-3634.8234538433785,-2690.9999999999986,943.8234538433801,5,False
2026-05-11/2026-05-17,-753.6825465358556,240.50000000000387,994.18254653586,5,False
2026-05-18/2026-05-24,-125.94089917803512,848.25,974.190899178035,5,False
2026-05-25/2026-05-31,-2703.6577753095007,-2509.000000000001,194.6577753095,1,False
2026-06-15/2026-06-21,-281.10516076132797,-19.499999999997954,261.60516076133,1,False
2026-06-22/2026-06-28,3096.923145351381,3812.2499999999964,715.3268546486149,3,True
2026-06-29/2026-07-05,-9003.126859002976,-8219.250000000002,783.8768590029749,4,False
