ts,norm_date,local_time,trading_day,strike,option_type,open_px,close_px,feature_day,bucket,expiry,atm
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15900.0,CE,17.95,17.9,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15900.0,PE,252.3,249.2,2021-07-02,0,2021-07-08,15700
2021-07-02 09:39:00,2021-07-02,09:39:00,2021-07-02,15900.0,PE,252.3,249.2,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15500.0,CE,228.2,228.55,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15500.0,CE,228.2,228.55,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15500.0,PE,16.2,16.3,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15500.0,PE,16.2,16.3,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15700.0,CE,82.3,82.2,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15700.0,CE,82.3,82.2,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15700.0,PE,69.5,69.65,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15900.0,CE,14.9,15.0,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15900.0,CE,14.9,15.0,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15900.0,PE,201.95,202.1,2021-07-02,0,2021-07-08,15700
2021-07-02 15:10:00,2021-07-02,15:10:00,2021-07-02,15900.0,PE,201.95,202.1,2021-07-02,0,2021-07-08,15700
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,15600.0,CE,217.5,213.2,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,15600.0,CE,217.5,213.2,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,15600.0,PE,13.25,13.8,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,15600.0,PE,13.25,13.8,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,15800.0,CE,71.0,67.6,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,15800.0,CE,71.0,67.6,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,15800.0,PE,65.3,68.2,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,16000.0,CE,10.15,9.55,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,16000.0,CE,10.15,9.55,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,16000.0,PE,205.0,211.3,2021-07-05,0,2021-07-08,15800
2021-07-05 09:25:00,2021-07-05,09:25:00,2021-07-05,16000.0,PE,205.0,211.3,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,15600.0,CE,217.55,220.9,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,15600.0,CE,217.55,220.9,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,15600.0,PE,13.25,12.5,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,15600.0,PE,13.25,12.5,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,15800.0,CE,69.5,71.1,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,15800.0,CE,69.5,71.1,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,15800.0,PE,65.95,62.65,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,16000.0,CE,10.0,10.0,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,16000.0,CE,10.0,10.0,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,16000.0,PE,206.65,201.95,2021-07-05,0,2021-07-08,15800
2021-07-05 09:30:00,2021-07-05,09:30:00,2021-07-05,16000.0,PE,206.65,201.95,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,15600.0,CE,221.25,222.75,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,15600.0,CE,221.25,222.75,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,15600.0,PE,12.5,11.65,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,15600.0,PE,12.5,11.65,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,15800.0,CE,71.2,72.0,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,15800.0,CE,71.2,72.0,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,15800.0,PE,62.65,60.45,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,16000.0,CE,9.9,9.95,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,16000.0,CE,9.9,9.95,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,16000.0,PE,201.7,198.95,2021-07-05,0,2021-07-08,15800
2021-07-05 09:31:00,2021-07-05,09:31:00,2021-07-05,16000.0,PE,201.7,198.95,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,15600.0,CE,223.1,221.4,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,15600.0,CE,223.1,221.4,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,15600.0,PE,11.7,11.65,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,15600.0,PE,11.7,11.65,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,15800.0,CE,72.1,71.3,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,15800.0,CE,72.1,71.3,2021-07-05,0,2021-07-08,15800
2021-07-05 09:32:00,2021-07-05,09:32:00,2021-07-05,15800.0,PE,60.45,61.35,2021-07-05,0,2021-07-08,15800
