entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,trades,weeks_completed,eligible_weeks,mean_weekly_net,median_weekly_net,profitable_week_rate,profit_factor,max_drawdown,weekly_q05,weekly_es05,execution_coverage,avg_capital_proxy,peak_capital_proxy,gross_pnl,costs,net_pnl,cost_share,gate,regime
WED,09:20,nearest_weekly,sigma2,touch,add_short,no_stop,42,42,42,1787.1415207449286,824.2420427914999,1.0,inf,0.0,346.89195165775004,322.0298366208333,1.0,15682.013690476191,30876.299999999985,79218.5,4158.556128712999,75059.943871287,0.0524947597936466,False,base
THU,11:00,second_nearest_weekly,delta020,touch,add_short,stop_2x_credit,39,39,39,1782.0991792550542,8263.683663865,0.6923076923076923,1.238595199871354,-111499.34306118648,-28371.005279256544,-57465.702896500254,1.0,20722.832692307693,51601.06250000001,75029.85,5527.982009052905,69501.86799094711,0.0736771033002585,False,base
FRI,11:00,second_nearest_weekly,sigma1,touch,protective_next_strike,no_stop,41,41,41,1780.0779951945044,3485.45918056,0.6341463414634146,1.7192446091258164,-50961.841927374,-10440.2777092615,-14266.0024136085,1.0,17740.333841463416,32334.89999999999,78305.45,5322.252197025302,72983.19780297468,0.0679678387267463,False,base
FRI,09:20,second_nearest_weekly,sigma1,ninety_pct,protective_next_strike,no_stop,41,41,41,1778.0556713149783,3638.9916959575,0.5853658536585366,1.7824219008549194,-53971.4841493905,-10209.1294651165,-13088.289628833998,1.0,18398.45152439025,36222.54999999999,78402.65,5502.367476085901,72900.28252391411,0.0701808864379699,False,base
MON,09:20,nearest_weekly,sigma1,ninety_pct,protective_next_strike,no_stop,43,43,43,1774.6467214778145,2500.5903217075,0.6976744186046512,3.284100915369565,-12253.528636160994,-3777.0591500636974,-5502.6839840896655,1.0,11192.023546511622,25663.624999999996,82216.5,5906.690976454,76309.80902354601,0.0718431333911562,False,base
MON,11:00,nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,43,43,43,1761.9319927194488,753.946330731,0.627906976744186,3.2548885207093434,-15823.608904777397,-2750.3721882742507,-4951.361275842665,1.0,11909.855232558142,30122.95000000002,82272.85,6509.774313063704,75763.07568693628,0.0791242106364821,False,base
MON,11:00,nearest_weekly,delta020,ninety_pct,protective_next_strike,stop_2x_credit,43,43,43,1761.9319927194488,753.946330731,0.627906976744186,3.2548885207093434,-15823.608904777397,-2750.3721882742507,-4951.361275842665,1.0,11909.855232558142,30122.95000000002,82272.85,6509.774313063704,75763.07568693628,0.0791242106364821,False,base
MON,09:20,nearest_weekly,sigma1,touch,protective_next_strike,no_stop,43,43,43,1740.693805451349,2404.499708955,0.7209302325581395,3.205341422546073,-13662.854723900493,-4363.451260807498,-6508.969014579666,1.0,11156.659011627902,25663.624999999996,80710.0,5860.166365592,74849.83363440799,0.0726076863535125,False,base
THU,11:00,second_nearest_weekly,sigma1,ninety_pct,add_short,stop_2x_credit,39,39,39,1727.914940996474,5105.2679657585,0.6923076923076923,1.3554668805443,-96410.506037048,-20992.180674858544,-31742.794674109005,1.0,18905.631089743583,36737.99999999999,72539.25,5150.567301137502,67388.6826988625,0.0710038675770359,False,base
MON,10:00,nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,43,43,43,1727.3694920225114,1324.4709959804998,0.627906976744186,2.5559206727793504,-25125.09409758449,-4778.243033652493,-7578.41983628133,1.0,12227.377325581394,31271.500000000004,80693.00000000001,6416.111843032,74276.888156968,0.0795126199674321,False,base
MON,10:00,nearest_weekly,delta020,ninety_pct,protective_next_strike,stop_2x_credit,43,43,43,1727.3694920225114,1324.4709959804998,0.627906976744186,2.5559206727793504,-25125.09409758449,-4778.243033652493,-7578.41983628133,1.0,12227.377325581394,31271.500000000004,80693.00000000001,6416.111843032,74276.888156968,0.0795126199674321,False,base
MON,11:00,nearest_weekly,delta020,touch,protective_next_strike,no_stop,43,43,43,1727.1645822615162,1782.5888766075,0.6046511627906976,2.939302134662359,-16693.985097527493,-3510.2538518771507,-5349.955052263832,1.0,11846.325581395353,30122.95000000002,80684.20000000001,6416.122962754801,74268.07703724521,0.079521430004323,False,base
MON,11:00,nearest_weekly,delta020,touch,protective_next_strike,stop_2x_credit,43,43,43,1727.1645822615162,1782.5888766075,0.6046511627906976,2.939302134662359,-16693.985097527493,-3510.2538518771507,-5349.955052263832,1.0,11846.325581395353,30122.95000000002,80684.20000000001,6416.122962754801,74268.07703724521,0.079521430004323,False,base
MON,09:20,nearest_weekly,sigma1,ninety_pct,protective_next_strike,stop_2x_credit,43,43,43,1715.7014669965934,2500.5903217075,0.6976744186046512,3.0525160469819443,-12253.528636160994,-4113.091478576251,-5626.810349277167,1.0,11192.023546511622,25663.624999999996,79692.75,5917.586919146501,73775.16308085351,0.0742550221839063,False,base
WED,11:00,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,42,42,42,1713.5991114375238,803.5271489845001,1.0,inf,0.0,441.202352937625,305.74124474666667,1.0,15812.616964285711,30886.049999999985,76172.5,4201.337319624001,71971.16268037599,0.0551555655863205,False,base
