week,net_pnl,gross_pnl,costs,trading_days,positive
2023-05-22/2023-05-28,245.2150612900009,980.0000000000011,734.78493871,5,True
2023-05-29/2023-06-04,-4359.69077166,-3630.0,729.69077166,5,False
2023-06-05/2023-06-11,-2985.82839108,-2260.0,725.82839108,5,False
2023-06-12/2023-06-18,-1701.8048390000004,-975.0000000000001,726.804839,5,False
2023-06-19/2023-06-25,-2407.49934441,-1680.0,727.49934441,5,False
2023-06-26/2023-07-02,-2500.2210418449995,-1917.4999999999995,582.7210418450001,4,False
2023-07-03/2023-07-09,-2773.8022666400016,-2035.0000000000016,738.80226664,5,False
2023-07-10/2023-07-16,-3778.96817494,-3050.0,728.9681749399999,5,False
2023-07-17/2023-07-23,-1587.6918755999995,-839.9999999999994,747.6918756,5,False
2023-07-24/2023-07-30,-5356.6362685700005,-4615.000000000001,741.6362685700001,5,False
2023-07-31/2023-08-06,-1776.0447507749996,-1037.5,738.544750775,5,False
2023-08-07/2023-08-13,-2819.50680791,-2085.0,734.50680791,5,False
2023-08-14/2023-08-20,-851.1082678250002,-262.5000000000001,588.608267825,4,False
2023-08-21/2023-08-27,-2568.7689038350004,-1837.5000000000002,731.2689038350001,5,False
2023-08-28/2023-09-03,-848.9703558400006,-115.00000000000045,733.9703558399999,5,False
2023-09-04/2023-09-10,-2454.272184905,-1727.5,726.772184905,5,False
2023-09-11/2023-09-17,-3238.6418090199995,-2500.0,738.64180902,5,False
2023-09-18/2023-09-24,-2783.6725782099998,-2195.0,588.67257821,4,False
2023-09-25/2023-10-01,-2041.5715472450001,-1302.5,739.0715472449999,5,False
2023-10-02/2023-10-08,-3473.7389575800003,-2890.0,583.73895758,4,False
2023-10-09/2023-10-15,-1775.79775939,-1035.0000000000002,740.79775939,5,False
2023-10-16/2023-10-22,-924.7420105450004,-187.5000000000004,737.242010545,5,False
2023-10-23/2023-10-29,8308.737614745001,8927.5,618.762385255,4,True
2023-10-30/2023-11-05,-1415.86413323,-670.0000000000002,745.86413323,5,False
2023-11-06/2023-11-12,-2071.6479624750004,-1342.5000000000005,729.147962475,5,False
2023-11-13/2023-11-19,-1998.2970627500001,-1415.0,583.29706275,4,False
2023-11-20/2023-11-26,-3389.1805632900005,-2660.0,729.18056329,5,False
2023-11-27/2023-12-03,122.411642535,717.5,595.088357465,4,True
2023-12-04/2023-12-10,-645.3976782550008,112.49999999999909,757.897678255,5,False
2023-12-11/2023-12-17,3610.8531003299977,4369.999999999998,759.14689967,5,True
2023-12-18/2023-12-24,11232.41857568,12025.0,792.58142432,5,True
2023-12-25/2023-12-31,-4496.168958849999,-3879.999999999999,616.1689588500001,4,False
2024-01-01/2024-01-07,-3445.5634491399987,-2684.999999999999,760.56344914,5,False
2024-01-08/2024-01-14,4515.486549879999,5285.0,769.51345012,5,True
2024-01-15/2024-01-21,-5484.558114810003,-4535.000000000003,949.55811481,6,False
2024-01-22/2024-01-28,15985.168205150003,16485.0,499.83179485,3,True
2024-01-29/2024-02-04,-9656.113005379997,-8794.999999999996,861.11300538,5,False
2024-02-05/2024-02-11,-3019.080455939998,-2199.9999999999986,819.08045594,5,False
2024-02-12/2024-02-18,7233.897139509997,8054.999999999998,821.10286049,5,True
2024-02-19/2024-02-25,-7026.964313480001,-6230.000000000001,796.96431348,5,False
