entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,week,net_pnl,gross_pnl,cost,capital_proxy,regime,fold,stage
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W12,51671.727955784,51863.5,191.7720442159989,51176.93749999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W14,-65912.53972657151,-65692.25000000001,220.28972657150007,27410.499999999996,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,no_stop,2026-W15,12212.343035353,12330.5,118.15696464699975,22182.54999999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W04,30375.707703706,30537.0,161.29229629399924,27579.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W05,19351.254051546,19513.0,161.74594845400134,23831.43749999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W06,8019.046491539998,8124.999999999998,105.9535084600002,14654.89999999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W07,-40741.672284052,-40573.0,168.6722840520015,18975.12500000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W08,-38974.731309253,-38798.5,176.2313092530021,19894.0625,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W09,-15552.241985799,-15379.0,173.24198579900076,18165.062499999975,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W10,-27551.04915468001,-27345.50000000001,205.5491546800004,30439.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W11,42045.920229327,42224.0,178.0797706730009,38969.93750000002,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W12,51671.727955784,51863.5,191.7720442159989,51176.93749999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W14,-73179.561566539,-72956.0,223.5615665390069,27410.499999999996,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,add_short,stop_2x_credit,2026-W15,12212.343035353,12330.5,118.15696464699975,22182.54999999998,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,2026-W04,-4024.5983780835,-3857.75,166.84837808349994,27579.50000000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,2026-W05,-11664.315322163502,-11495.250000000002,169.06532216350024,23831.43749999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,2026-W06,8019.046491539998,8124.999999999998,105.9535084600002,14654.89999999999,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,2026-W07,-4939.271113124491,-4735.249999999992,204.0211131244996,18975.12500000001,base,1,oos
THU,09:20,second_nearest_weekly,delta020,ninety_pct,protective_next_strike,no_stop,2026-W08,-8752.74196618652,-8472.75000000002,279.9919661865006,19894.0625,base,1,oos
