week,net_pnl,gross_pnl,transaction_costs,slippage_cost,total_friction,trading_days,positive
2024-05-27/2024-06-02,-4554.863897359997,-3744.9999999999973,809.86389736,492.4999999999953,1302.3638973599952,5,False
2024-06-03/2024-06-09,8753.303234850006,9680.000000000007,926.6967651499999,479.9999999999943,1406.6967651499942,5,True
2024-06-10/2024-06-16,-6693.637453652499,-5936.249999999999,757.3874536525,467.5000000000008,1224.8874536525009,5,False
2024-06-17/2024-06-23,-3838.1573772350002,-3250.0,588.157377235,370.0000000000001,958.1573772350001,4,False
2024-06-24/2024-06-30,473.0643608524997,1226.2499999999998,753.1856391475001,490.00000000000045,1243.1856391475005,5,True
2024-07-01/2024-07-07,-3368.808310094999,-2624.999999999999,743.808310095,467.4999999999996,1211.3083100949996,5,False
2024-07-08/2024-07-14,-2674.838556027499,-1941.249999999999,733.5885560275,467.4999999999994,1201.0885560274994,5,False
2024-07-15/2024-07-21,0.5306489049983725,614.9999999999984,614.469351095,387.50000000000165,1001.9693510950016,4,True
2024-07-22/2024-07-28,-4338.374031232501,-3556.250000000001,782.1240312325,480.0000000000026,1262.1240312325026,5,False
2024-07-29/2024-08-04,-3486.4202976750003,-2740.0,746.420297675,474.99999999999943,1221.4202976749993,5,False
2024-08-05/2024-08-11,-5106.449589202503,-4331.250000000004,775.1995892025,482.5000000000026,1257.6995892025025,5,False
2024-08-12/2024-08-18,-2272.21203064,-1672.5000000000002,599.71203064,375.00000000000057,974.7120306400005,4,False
2024-08-19/2024-08-25,-3982.8404414049996,-3247.4999999999995,735.3404414050001,472.499999999999,1207.840441404999,5,False
2024-08-26/2024-09-01,-3419.8839021525,-2686.25,733.6339021525,489.99999999999994,1223.6339021525,5,False
2024-09-02/2024-09-08,-1075.2377590925007,-331.25000000000045,743.9877590925,469.9999999999993,1213.9877590924993,5,False
2024-09-09/2024-09-15,5090.2742384799985,5842.499999999999,752.22576152,495.000000000001,1247.225761520001,5,True
2024-09-16/2024-09-22,1550.9616795750003,2302.5000000000005,751.538320425,479.99999999999994,1231.538320425,5,True
2024-09-23/2024-09-29,-6726.646219442499,-5983.749999999999,742.8962194425,497.49999999999943,1240.3962194424994,5,False
2024-09-30/2024-10-06,2407.5077110124994,3026.249999999999,618.7422889875,392.50000000000216,1011.2422889875022,4,True
2024-10-07/2024-10-13,-7232.1678178725015,-6461.250000000002,770.9178178725,472.5000000000022,1243.4178178725024,5,False
2024-10-14/2024-10-20,397.25187120250075,1148.7500000000005,751.4981287974999,487.49999999999915,1238.9981287974992,5,True
2024-10-21/2024-10-27,1232.821583607498,1996.2499999999986,763.4284163925,470.0000000000007,1233.4284163925008,5,True
2024-10-28/2024-11-03,-1541.054261367501,-946.2500000000014,594.8042613675,375.0000000000002,969.8042613675002,4,False
2024-11-04/2024-11-10,-7569.135302255003,-6792.500000000004,776.635302255,477.5000000000023,1254.1353022550024,5,False
2024-11-11/2024-11-17,-74.78255188500134,527.4999999999989,602.282551885,370.00000000000153,972.2825518850016,4,False
2024-11-18/2024-11-24,19980.117805057504,20711.25,731.1321949425,1132.5,1863.6321949425,4,True
2024-11-25/2024-12-01,8435.060544794993,9337.49999999999,902.439455205,1485.0000000000075,2387.4394552050076,5,True
2024-12-02/2024-12-08,-12471.908033310008,-11542.500000000007,929.40803331,1500.000000000006,2429.408033310006,5,False
2024-12-09/2024-12-15,-3712.9089286575036,-2838.7500000000036,874.1589286574999,1417.5000000000066,2291.6589286575063,5,False
2024-12-16/2024-12-22,-16429.524331725006,-15517.500000000005,912.024331725,1470.0000000000105,2382.0243317250106,5,False
2024-12-23/2024-12-29,-22532.0208636225,-21881.25,650.7708636225,1125.0000000000002,1775.7708636225002,4,False
2024-12-30/2025-01-05,27340.31909563499,28267.499999999993,927.1809043650001,1470.000000000006,2397.180904365006,5,True
2025-01-06/2025-01-12,-5252.1650044575035,-4346.250000000004,905.9150044574999,1417.5000000000027,2323.4150044575026,5,False
2025-01-13/2025-01-19,-19818.471791385004,-18982.500000000004,835.971791385,1417.500000000005,2253.471791385005,5,False
2025-01-20/2025-01-26,-8661.932350620007,-7770.000000000006,891.93235062,1417.5000000000045,2309.432350620005,5,False
2025-01-27/2025-02-02,-47369.05767294001,-46185.000000000015,1184.05767294,1755.0000000000127,2939.0576729400127,6,False
2025-02-03/2025-02-09,-18184.745800230005,-17347.500000000004,837.24580023,1410.0000000000018,2247.245800230002,5,False
2025-02-10/2025-02-16,-19068.605472037503,-18206.250000000004,862.3554720375,1417.5000000000027,2279.8554720375028,5,False
